date,BTC,ETH,SOL,BNB,XRP,ADA
2023-02-13,-0.00016,0.00779,-0.00078,0.00870,-0.00355,-0.00854
2023-02-14,-0.00689,0.01231,-0.00202,0.01143,0.00334,-0.01193
2023-02-15,0.00321,-0.00050,0.00339,0.00087,0.00191,-0.00780
2023-02-16,-0.00218,0.00168,0.00567,0.00014,-0.00252,-0.00594
2023-02-17,0.00675,0.00839,-0.00034,-0.00116,0.00906,-0.00245
2023-02-18,0.00380,0.00018,-0.00476,0.00757,-0.01153,0.00495
2023-02-19,-0.00342,0.00500,0.00208,0.02061,-0.00323,0.01446
2023-02-20,-0.00290,0.02011,-0.00523,-0.00423,-0.01275,-0.01124
2023-02-21,0.00311,0.00050,0.00520,0.00756,0.00420,-0.00989
2023-02-22,-0.00162,-0.00108,0.00570,0.00876,0.00805,0.00775
2023-02-23,0.00224,0.00988,0.01451,0.00286,0.00599,-0.00473
2023-02-24,0.01092,0.00450,0.00712,0.00794,0.00114,-0.00024
2023-02-25,-0.01041,0.00647,0.01394,0.00461,-0.00998,-0.00098
2023-02-26,-0.00755,0.00606,0.00277,0.00207,-0.01116,-0.00262
2023-02-27,0.01397,0.00544,0.00934,0.00478,-0.01219,-0.00021
2023-02-28,0.00624,0.00070,-0.00409,-0.00855,-0.01166,-0.01161
2023-03-01,0.01461,0.00967,-0.00166,-0.00348,-0.00660,-0.00439
2023-03-02,0.00876,0.00242,-0.00726,-0.01016,-0.01059,-0.00134
2023-03-03,0.00458,0.02087,0.00503,0.00816,0.00430,0.00207
2023-03-04,0.00062,-0.00199,0.00636,0.00112,-0.00279,-0.00265
2023-03-05,0.00797,-0.00281,-0.00606,0.00315,-0.00645,-0.00201
2023-03-06,0.00779,-0.00050,-0.00071,-0.00224,-0.01517,-0.00694
2023-03-07,-0.00081,0.01245,0.00210,0.01036,-0.00290,-0.00206
2023-03-08,0.00622,0.00451,-0.00177,-0.00306,-0.00192,-0.00837
2023-03-09,0.00097,0.00803,-0.00303,0.00695,-0.00425,0.00930
2023-03-10,0.00468,0.00675,-0.00459,-0.00464,-0.00517,0.00959
2023-03-11,-0.00403,0.00285,0.00718,0.00931,0.00581,0.00352
2023-03-12,0.00621,0.01924,0.00084,0.00972,-0.00433,-0.00070
2023-03-13,0.00643,0.00775,-0.00501,0.00373,-0.00403,0.00082
2023-03-14,0.00818,-0.00901,-0.00456,0.00375,-0.00878,0.00455
2023-03-15,-0.00010,0.00744,-0.00273,0.00567,-0.00277,0.00541
2023-03-16,-0.00464,0.00212,-0.00327,0.00664,0.00183,0.00784
2023-03-17,0.00590,0.00027,0.01104,-0.00031,-0.00274,0.00887
2023-03-18,-0.00085,0.01072,0.00461,0.00477,-0.00845,0.00436
2023-03-19,0.00121,0.00739,0.00148,-0.00816,-0.00607,0.00690
2023-03-20,-0.00592,0.00151,-0.00013,0.00412,-0.00415,0.00264
2023-03-21,0.00684,-0.00326,-0.01042,-0.00076,0.00395,0.00925
2023-03-22,-0.00099,-0.00016,0.00795,0.00210,-0.00166,-0.00051
2023-03-23,0.00429,-0.00036,-0.00127,-0.00466,-0.01476,0.00786
2023-03-24,-0.00221,-0.00325,0.00067,0.00713,0.00226,0.00367
2023-03-25,-0.01181,-0.00479,0.00177,0.01106,-0.00748,-0.00080
2023-03-26,0.00353,-0.01068,0.00378,0.00497,-0.00575,-0.00329
2023-03-27,-0.00970,0.00291,-0.00566,0.00682,-0.00515,0.00782
2023-03-28,-0.00732,-0.00955,0.00221,0.00891,-0.00493,-0.00360
2023-03-29,-0.00324,-0.00070,0.00139,0.00208,-0.01012,0.00022
2023-03-30,-0.00629,-0.00629,-0.00444,0.00340,-0.00955,-0.01116
2023-03-31,0.00464,0.00022,0.00029,0.01261,0.00160,0.00190
2023-04-01,0.00053,-0.00313,-0.00143,0.00396,-0.00335,0.00561
2023-04-02,0.00141,0.00075,-0.00018,0.00397,-0.00158,0.00481
2023-04-03,0.00001,-0.00287,-0.00548,0.00431,0.00514,0.00341
2023-04-04,0.00467,-0.00749,-0.01397,0.00603,-0.01132,0.00838
2023-04-05,0.00277,-0.00215,-0.01932,0.00702,-0.00712,0.00121
2023-04-06,0.00635,-0.00665,-0.00714,0.00015,-0.00476,0.00564
2023-04-07,-0.00936,-0.01060,-0.00524,0.00093,-0.00348,-0.00508
2023-04-08,-0.00652,-0.00631,-0.00784,0.00939,0.00072,0.00051
2023-04-09,0.00174,-0.00052,0.00133,0.01097,0.00482,0.01455
2023-04-10,-0.00655,0.00042,0.00162,0.00201,-0.00243,-0.00835
2023-04-11,-0.00528,-0.01039,-0.00802,0.01129,0.01250,0.00139
2023-04-12,0.00365,-0.00267,0.00465,0.00697,-0.00918,0.00049
2023-04-13,-0.00470,-0.00248,-0.00850,0.00539,0.01084,0.00463
2023-04-14,0.00288,0.00649,-0.00173,0.00705,0.00270,0.00745
2023-04-15,-0.00332,-0.00583,0.00450,0.00768,0.00786,-0.01379
2023-04-16,-0.00241,-0.00324,-0.00889,0.01358,0.00342,0.01059
2023-04-17,-0.00105,0.01044,0.00000,0.00860,0.01125,0.00634
2023-04-18,-0.00826,-0.01278,-0.00190,0.00624,0.00704,0.00298
2023-04-19,-0.00078,-0.00787,-0.00346,0.00719,0.00513,0.00139
2023-04-20,0.01504,-0.01510,0.00646,0.00079,0.00306,0.00590
2023-04-21,0.00858,-0.00243,-0.00385,0.00905,-0.00553,0.00560
2023-04-22,-0.00019,-0.00717,0.00592,0.00297,0.00563,0.00754
2023-04-23,0.00421,0.00315,-0.00172,0.00574,0.00280,0.00524
2023-04-24,-0.00227,0.01247,-0.01325,0.00517,0.00112,-0.00476
2023-04-25,-0.00203,-0.00393,0.00185,0.00028,0.00964,0.00802
2023-04-26,0.00680,-0.00100,0.00618,0.00306,0.00558,-0.00296
2023-04-27,0.00057,-0.00203,-0.00047,0.00067,-0.00038,-0.00451
2023-04-28,0.01209,0.00401,-0.00650,0.00754,-0.00719,0.00628
2023-04-29,-0.00076,0.00741,-0.00087,-0.00075,-0.00995,0.00957
2023-04-30,0.00274,-0.00328,0.00209,-0.00072,-0.00613,0.01065
2023-05-01,0.00220,0.00086,-0.00618,0.01111,0.00138,0.00865
2023-05-02,-0.00406,-0.00484,-0.00422,-0.00304,-0.00271,-0.00541
2023-05-03,0.00157,0.00606,-0.00177,-0.00579,-0.00612,-0.00097
2023-05-04,0.00999,-0.00418,-0.00712,-0.01075,-0.00821,-0.00204
2023-05-05,-0.00288,-0.00275,-0.00699,-0.00507,0.00315,-0.00014
2023-05-06,-0.00139,-0.01196,0.00674,-0.00807,-0.00584,0.00651
2023-05-07,0.00499,-0.00248,0.00114,0.00084,0.01039,-0.00560
2023-05-08,-0.00184,-0.00690,-0.00917,-0.01079,0.00086,0.00344
2023-05-09,0.00605,0.00214,-0.00490,-0.01366,0.00002,0.00155
2023-05-10,-0.00194,-0.01059,-0.01000,-0.00244,-0.01365,-0.00649
2023-05-11,-0.00109,-0.00175,0.00180,-0.00311,-0.01212,0.00268
2023-05-12,-0.00378,-0.00033,-0.00904,-0.00734,-0.00049,-0.00468
2023-05-13,-0.00126,-0.01514,0.00428,-0.00481,-0.00089,-0.00195
2023-05-14,-0.00616,-0.00458,-0.00083,-0.00440,0.00241,-0.00870
2023-05-15,-0.00247,0.00403,0.00134,0.00076,0.00336,-0.00256
2023-05-16,0.00626,0.00110,0.00930,-0.00710,-0.00160,-0.00139
2023-05-17,0.00367,-0.00786,0.00019,-0.00843,-0.00476,-0.00253
2023-05-18,0.00212,-0.00263,0.00022,-0.00267,-0.00123,-0.01246
2023-05-19,0.00047,-0.00263,0.00696,0.00090,0.00028,0.00415
2023-05-20,-0.00201,0.00247,0.00351,-0.00553,-0.00240,-0.01895
2023-05-21,-0.00634,-0.00424,-0.01839,-0.01312,-0.00678,0.00011
2023-05-22,0.00138,-0.00166,0.01322,-0.00421,-0.00040,0.00064
2023-05-23,-0.00942,-0.00090,0.00567,0.00137,-0.00245,-0.01266
2023-05-24,-0.00494,-0.00749,-0.00508,-0.00456,0.00578,-0.00155
2023-05-25,-0.00075,0.00403,-0.00978,-0.01013,0.00252,0.00209
2023-05-26,-0.01210,0.00455,0.00460,-0.01241,-0.00071,-0.00036
2023-05-27,0.00600,0.01057,0.00821,-0.01718,-0.00399,0.00395
2023-05-28,-0.00163,-0.00531,0.00235,0.00335,0.00304,-0.00147
2023-05-29,-0.00194,-0.01136,-0.00129,-0.00732,-0.00363,-0.00045
2023-05-30,-0.01157,-0.00472,-0.00290,0.00374,0.00185,0.01456
2023-05-31,0.00357,0.00231,-0.00030,-0.00377,0.00288,-0.00327
2023-06-01,0.00483,0.00501,0.00078,0.00412,0.00081,0.00306
2023-06-02,-0.00370,0.00238,0.00876,-0.00302,0.00336,0.00667
2023-06-03,0.00511,-0.00959,0.00138,0.00345,-0.00390,0.00861
2023-06-04,-0.00816,-0.00681,0.01215,-0.00604,0.00330,0.00042
2023-06-05,-0.00824,0.00234,0.00658,-0.00364,-0.00547,0.00467
2023-06-06,-0.00193,0.00493,0.00471,0.00401,0.00548,0.00191
2023-06-07,-0.00584,0.00705,0.00772,0.00208,-0.00158,0.00894
2023-06-08,-0.00925,0.00016,0.00921,0.00453,-0.00072,0.00952
2023-06-09,0.00192,-0.00431,0.00796,0.00159,0.00426,0.00229
